scenario_id,bonding_id,bonding_label,switching_angle_deg,switching_time_s,grounded_sending,grounded_receiving,cross_bonded,core_voltage_peak_kv,core_voltage_peak_channel,core_voltage_peak_time_ms,core_current_peak_ka,core_current_peak_channel,core_current_peak_time_ms,sheath_voltage_peak_kv,sheath_voltage_peak_channel,sheath_voltage_peak_time_ms,sheath_current_peak_ka,sheath_current_peak_channel,sheath_current_peak_time_ms,ground_current_peak_ka,ground_current_peak_channel,ground_current_peak_time_ms,nominal_phase_peak_kv,core_voltage_peak_pu
cross_bonded_pow_030deg,cross_bonded,Cross-bonded (ideal TypCabsys),30,0.02166666667,True,True,True,394.330863,v_core_recv_c_kv,1.638333333,2.930787,i_core_send_a_ka,2.318333333,0,v_sheath_send_a_kv,0.0003333333333,0.012147,i_sheath_send_a_ka,3.938333333,0.012147,i_ground_send_a_ka,3.938333333,179.6292478,2.195248646
cross_bonded_pow_060deg,cross_bonded,Cross-bonded (ideal TypCabsys),60,0.02333333333,True,True,True,394.247273,v_core_recv_c_kv,1.592666667,3.236719,i_core_send_c_ka,2.320666667,0,v_sheath_send_a_kv,0.001666666667,0.035776,i_sheath_send_a_ka,3.265666667,0.035776,i_ground_send_a_ka,3.265666667,179.6292478,2.194783298
cross_bonded_pow_000deg,cross_bonded,Cross-bonded (ideal TypCabsys),0,0.02,True,True,True,389.510702,v_core_recv_a_kv,1.595,3.157607,i_core_send_a_ka,2.32,0,v_sheath_send_a_kv,0,0.036294,i_sheath_send_a_ka,4.543,0.036294,i_ground_send_a_ka,4.543,179.6292478,2.168414703
cross_bonded_pow_120deg,cross_bonded,Cross-bonded (ideal TypCabsys),120,0.02666666667,True,True,True,388.090521,v_core_recv_b_kv,1.463333333,3.204567,i_core_send_b_ka,2.200333333,0,v_sheath_send_a_kv,0.0003333333333,0.066259,i_sheath_send_a_ka,4.675333333,0.066259,i_ground_send_a_ka,4.675333333,179.6292478,2.160508524
isolated_pow_060deg,isolated,Isolated screen,60,0.02333333333,False,False,False,376.372054,v_core_recv_c_kv,1.282666667,2.571041,i_core_send_c_ka,2.000666667,133.995219,v_sheath_recv_c_kv,1.210666667,0,i_sheath_send_a_ka,0.001666666667,0,i_ground_send_a_ka,0.001666666667,179.6292478,2.095271559
cross_bonded_pow_150deg,cross_bonded,Cross-bonded (ideal TypCabsys),150,0.02833333333,True,True,True,376.320117,v_core_recv_a_kv,1.595666667,2.987561,i_core_send_b_ka,2.165666667,0,v_sheath_send_a_kv,0.001666666667,0.058755,i_sheath_send_a_ka,4.622666667,0.058755,i_ground_send_a_ka,4.622666667,179.6292478,2.094982424
cross_bonded_pow_090deg,cross_bonded,Cross-bonded (ideal TypCabsys),90,0.025,True,True,True,375.910615,v_core_recv_b_kv,1.493,3.002896,i_core_send_c_ka,2.255,0,v_sheath_send_a_kv,0,0.058068,i_sheath_send_a_ka,3.238,0.058068,i_ground_send_a_ka,3.238,179.6292478,2.092702717
isolated_pow_000deg,isolated,Isolated screen,0,0.02,False,False,False,371.996699,v_core_recv_a_kv,1.285,2.493209,i_core_send_a_ka,1.998,131.797642,v_sheath_recv_a_kv,1.218,0,i_sheath_send_a_ka,0,0,i_ground_send_a_ka,0,179.6292478,2.07091386
isolated_pow_030deg,isolated,Isolated screen,30,0.02166666667,False,False,False,363.397929,v_core_recv_c_kv,1.338333333,2.2829,i_core_send_a_ka,2.003333333,128.773484,v_sheath_recv_c_kv,1.260333333,0,i_sheath_send_a_ka,0.0003333333333,0,i_ground_send_a_ka,0.0003333333333,179.6292478,2.023044317
isolated_pow_120deg,isolated,Isolated screen,120,0.02666666667,False,False,False,363.387679,v_core_recv_b_kv,1.265333333,2.569639,i_core_send_b_ka,1.890333333,118.700466,v_sheath_recv_b_kv,1.135333333,0,i_sheath_send_a_ka,0.0003333333333,0,i_ground_send_a_ka,0.0003333333333,179.6292478,2.022987255
