scenario_id,switching_angle_deg,switching_time_s,residual_id,residual_label,residual_flux_a_pu,residual_flux_b_pu,residual_flux_c_pu,current_peak_ka,current_peak_pu,current_peak_phase,current_peak_time_ms,flux_proxy_peak_pu,flux_proxy_peak_phase,flux_proxy_peak_time_ms,second_harmonic_ratio,lv_voltage_peak_pu,rated_hv_current_ka,rated_lv_current_ka,hv_base_impedance_ohm,leakage_impedance_ohm,nominal_hv_phase_peak_kv,electrical_period_ms
opposite_a_pow_090deg,90,0.025,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.717247,6.841025822,i_hv_a_ka,9.221,2.704935669,flux_a_pu,9.886,0.1031601783,1.052184141,0.2510218562,1.673479041,529,66.125,187.7942136,20
opposite_a_pow_120deg,120,0.02666666667,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.708388,6.805734075,i_hv_a_ka,9.011333333,2.584496494,flux_a_pu,8.201333333,0.1651224928,1.073977145,0.2510218562,1.673479041,529,66.125,187.7942136,20
opposite_a_pow_060deg,60,0.02333333333,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.70411,6.788691734,i_hv_a_ka,10.69066667,2.570747452,flux_a_pu,11.57566667,0.1645662989,1.177307805,0.2510218562,1.673479041,529,66.125,187.7942136,20
opposite_a_pow_030deg,30,0.02166666667,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.480554,5.898107928,i_hv_b_ka,10.69133333,2.335634821,flux_b_pu,9.881333333,0.2460088433,1.29527942,0.2510218562,1.673479041,529,66.125,187.7942136,20
opposite_a_pow_150deg,150,0.02833333333,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.469755,5.85508777,i_hv_c_ka,9.040666667,2.318619108,flux_c_pu,9.925666667,0.2447696562,0.9995797868,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_000deg,0,0.02,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.191116,4.745068888,i_hv_c_ka,7.406,2.205909903,flux_c_pu,8.271,0.2860927463,1.131700578,0.2510218562,1.673479041,529,66.125,187.7942136,20
opposite_a_pow_000deg,0,0.02,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.187988,4.732607822,i_hv_b_ka,12.391,2.211791524,flux_b_pu,11.576,0.2867828074,1.420546183,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_030deg,30,0.02166666667,demagnetized,Demagnetized core,0,0,0,0.875535,3.487883539,i_hv_b_ka,9.911333333,1.959522596,flux_b_pu,9.941333333,0.3857391225,0.9995992052,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_150deg,150,0.02833333333,demagnetized,Demagnetized core,0,0,0,0.875535,3.487883539,i_hv_c_ka,9.910666667,1.959521936,flux_c_pu,9.940666667,0.38583015,0.9995992052,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_090deg,90,0.025,demagnetized,Demagnetized core,0,0,0,0.875535,3.487883539,i_hv_a_ka,9.911,1.959522305,flux_a_pu,9.941,0.3857391489,0.9995992052,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_000deg,0,0.02,demagnetized,Demagnetized core,0,0,0,0.846283,3.371351853,i_hv_c_ka,9.086,1.834100577,flux_c_pu,8.256,0.393813299,1.015507328,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_060deg,60,0.02333333333,demagnetized,Demagnetized core,0,0,0,0.846283,3.371351853,i_hv_b_ka,9.085666667,1.833866374,flux_b_pu,8.255666667,0.3938882386,1.015507328,0.2510218562,1.673479041,529,66.125,187.7942136,20
demagnetized_pow_120deg,120,0.02666666667,demagnetized,Demagnetized core,0,0,0,0.846283,3.371351853,i_hv_a_ka,9.086333333,1.834179503,flux_a_pu,8.256333333,0.3938132515,1.015507328,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_150deg,150,0.02833333333,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,0.787268,3.136252803,i_hv_b_ka,12.44066667,1.863538622,flux_b_pu,13.28566667,0.4235465614,1.296018917,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_030deg,30,0.02166666667,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,0.785293,3.128384962,i_hv_c_ka,7.426333333,1.866578272,flux_c_pu,6.611333333,0.4240537149,0.9995899397,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_120deg,120,0.02666666667,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,0.361544,1.440288927,i_hv_c_ka,11.65633333,1.453524642,flux_c_pu,11.64133333,0.5536122995,1.177306988,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_060deg,60,0.02333333333,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,0.35846,1.428003145,i_hv_b_ka,8.280666667,1.450182748,flux_b_pu,8.310666667,0.5495184114,1.07397931,0.2510218562,1.673479041,529,66.125,187.7942136,20
adverse_a_pow_090deg,90,0.025,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,0.100456,0.4001882606,i_hv_a_ka,9.991,1.196733263,flux_a_pu,9.991,0.6020744257,1.052923638,0.2510218562,1.673479041,529,66.125,187.7942136,20
