scenario_id,switching_angle_deg,switching_time_s,residual_id,residual_label,residual_flux_a_pu,residual_flux_b_pu,residual_flux_c_pu,source_voltage_pu
demagnetized_pow_000deg,0.0,0.02,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
demagnetized_pow_030deg,30.0,0.021666666666666667,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
demagnetized_pow_060deg,60.0,0.023333333333333334,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
demagnetized_pow_090deg,90.0,0.025,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
demagnetized_pow_120deg,120.0,0.02666666666666667,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
demagnetized_pow_150deg,150.0,0.028333333333333335,demagnetized,Demagnetized core,0.0,0.0,0.0,1.0
adverse_a_pow_000deg,0.0,0.02,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
adverse_a_pow_030deg,30.0,0.021666666666666667,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
adverse_a_pow_060deg,60.0,0.023333333333333334,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
adverse_a_pow_090deg,90.0,0.025,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
adverse_a_pow_120deg,120.0,0.02666666666666667,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
adverse_a_pow_150deg,150.0,0.028333333333333335,adverse_a,Adverse phase-A residual flux,0.8,-0.4,-0.4,1.0
opposite_a_pow_000deg,0.0,0.02,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
opposite_a_pow_030deg,30.0,0.021666666666666667,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
opposite_a_pow_060deg,60.0,0.023333333333333334,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
opposite_a_pow_090deg,90.0,0.025,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
opposite_a_pow_120deg,120.0,0.02666666666666667,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
opposite_a_pow_150deg,150.0,0.028333333333333335,opposite_a,Opposite phase-A residual flux,-0.8,0.4,0.4,1.0
