scenario_id,topology_id,topology_label,existing_bank_connected,switching_angle_deg,switching_time_s,current_peak_ka,current_peak_pu_rated,peak_didt_ka_per_ms,main_bus_voltage_peak_pu,bank_voltage_peak_pu,dominant_frequency_hz,phase_capacitance_uf,source_inductance_mh,reactor_inductance_mh,isolated_frequency_hz,back_to_back_frequency_hz,bank_rated_current_ka,nominal_phase_peak_kv
back_to_back_pow_090deg,back_to_back,Back-to-back energization,True,90,0.015,23.115647,92.08619262,1258.173,1.352016285,1.786132951,6498.70026,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
back_to_back_pow_030deg,back_to_back,Back-to-back energization,True,30,0.01166666667,23.115646,92.08618864,1258.173,1.352015704,1.786133079,6499.350065,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
back_to_back_pow_150deg,back_to_back,Back-to-back energization,True,150,0.01833333333,23.115644,92.08618067,930.8415,1.352015683,1.786132515,6500,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
back_to_back_pow_000deg,back_to_back,Back-to-back energization,True,0,0.01,20.115632,80.1349823,1090.009,1.357441298,1.729770672,6498.70026,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
back_to_back_pow_060deg,back_to_back,Back-to-back energization,True,60,0.01333333333,20.115628,80.13496636,806.627,1.357441436,1.729770672,6500,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
back_to_back_pow_120deg,back_to_back,Back-to-back energization,True,120,0.01666666667,20.115628,80.13496636,1090.009,1.357441356,1.729770714,6499.350065,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_090deg,isolated,Isolated-bank energization,False,90,0.015,3.732127,14.86773724,19.086,1.841904212,1.848621437,549.890022,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_030deg,isolated,Isolated-bank energization,False,30,0.01166666667,3.732127,14.86773724,19.086,1.841904201,1.848621426,549.9450055,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_150deg,isolated,Isolated-bank energization,False,150,0.01833333333,3.732127,14.86773724,14.2135,1.841904201,1.848621421,550,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_000deg,isolated,Isolated-bank energization,False,0,0.01,3.397589,13.53503257,16.535,1.7286044,1.73438338,549.890022,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_060deg,isolated,Isolated-bank energization,False,60,0.01333333333,3.397589,13.53503257,12.3165,1.728604384,1.73438337,550,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
isolated_pow_120deg,isolated,Isolated-bank energization,False,120,0.01666666667,3.397589,13.53503257,16.535,1.7286044,1.734383386,549.9450055,6.017200117,16.83859298,0.1,498.5218957,6488.180211,0.2510218562,187.7942136
